id,vince,gregmat,magoosh,manhattan,prep_scholar,powerscore,greenlight_basic,greenlight_advanced
380,estranged,invigorate,exemplar,futile,,malinger,propensity,rail
381,ethereal,inviolate,exemplify,gainsay,,malleable,provincial,ramify
382,etiolated,irascible,exhort,gambol,,malodorous,prudent,rampart
383,euphemism,ire,exiguity,garner,,mar,prune,rancorous
384,eurytopic,irksome,exonerate,garrulous,,martial,pursuant,rapacious
385,evanescent,ironclad,exorbitant,gauche,,martinet,qualify,rebus
386,evinced,irresolute,expansive,gawky,,matriarch,qualm,recant
387,exacerbated,irreverent,expound,germane,,maudlin,query,recidivism
388,exact,jeopardize,expunge,gestation,,maverick,queue,recondite
389,exacting,jettison,expurgate,gist,,melange,quintessential,reconnoiter
390,exaggerate,judicious,extant,glacial,,mendacious,rarefy,recreant
391,excise,laconic,extenuating,glib,,mendicant,raucous,rectitude
392,excoriated,lament,extrapolate,glower,,mercurial,recalcitrant,recumbent
393,exculpated,languid,facetious,goad,,meretricious,recluse,redolent
394,execrable,largesse,facile,goosebumps,,meritocracy,reconciliation,redoubtable
395,exigent,laudable,factious,gouge,,meticulous,reconnaissance,refractory
396,exodus,lax,factitious,gradation,,militate,rectify,regale
397,exorbitant,lethargic,fallacious,graft,,mirth,refute,rent
398,expatiate,liability,fastidious,grandiloquent,,misanthrope,relegate,repine
399,expatriate,libertine,fawn,grandstand,,miscreant,relish,replete
400,expedient,limpid,feckless,grating,,miser,remedial,reprobate
401,explicate,lionize,fecund,gregarious,,missive,remonstrate,reprove
402,exponent,loathe,fell,grievous,,mitigate,remuneration,ribald
403,expunge,loquacious,ferret,grouse,,mollify,renaissance,rubicund
404,expurgate,lucid,fete,grovel,,molt,renege,runic
405,extant,lucrative,fickle,guile,,monastic,reproach,sagacious
406,extemporaneous,lull,finagle,hackneyed,,morass,repudiate,salacious
407,extenuating,magisterial,firebrand,halcyon,,moratorium,rescind,salubrious
408,extirpate,malfeasance,flag,hallmark,,mores,resolute,sanatorium
409,extol,malign,fledgling,handwringing,,morose,respite,sanctimony
410,extraneous,malleable,fleece,hapless,,multifarious,restitution,sanguine
411,extrapolate,manacle,flippant,harangue,,mundane,resurrect,sartorial
412,exult,manifest,flounder,hardy,,munificent,retard,satiate
413,fabricate,marginalize,flummox,harrow,,myopic,reticent,saturnine
414,facetious,mawkish,flush,haven,,nadir,reverent,scurrilous
415,fallible,mendacity,flux,hearken,,naïve,rhetoric,scurvy
416,fanatic,mercenary,foible,hedge,,narcissist,rubric,sedulous
417,farce,mercurial,foment,hedonist,,nascent,rue,seine
418,fastidious,metaphorical,foolhardy,hegemony,,nebulous,salient,seminal
419,fatuous,meticulous,forlorn,hermetic,,nefarious,salutary,sententious
420,fawning,mettlesome,forthcoming,heterogeneous,,neologism,salve,sepulchral
421,feckless,mimic,forthright,hew,,neophyte,sanction,sidereal
422,fecund,minute,fortuitous,hierarchy,,nettle,sanction,simper
423,feign,misanthropic,fractious,hoary,,nihilism,sap,sinecure
424,felicity,miserly,frivolous,hodgepodge,,noisome,satire,sinuous
425,ferret,misnomer,frugal,homage,,nominal,saturate,slake
426,fervor,mitigate,frustrate,homogeneous,,noxious,savor,sodden
427,festoon,modest,futile,hoodwink,,nuance,schism,solder
428,fetid,modish,gaffe,hotly,,numismatic,secrete,solicitous
429,fiasco,mollify,gainsay,husband,,obdurate,sedative,sophistry
430,filial,momentary,gall,hyberbole,,obfuscate,serenity,sophomoric
431,fillip,monotonous,galvanize,iconoclast,,oblique,sever,soporific
433,finagled,mordant,gambit,idiosyncrasy,,obscure,shard,soubriquet
434,finicky,mundane,garrulous,idolatry,,obsequious,singular,splenetic
435,fitful,munificent,gauche,idyllic,,obstinate,slight,stanch
432,flagrant,myopic,genial,ignoble,,obstreperous,slothful,steep
436,fleeting,naive,genteel,illiberality,,obstreperous,soliloquy,stentorian
437,flippant,nascent,germane,imbue,,obstructionist,solvent,stoic
438,florid,negligent,gerrymander,imminent,,obtuse,somber,striated
439,flotilla,neophyte,glean,immutable,,obviate,sordid,strident
440,flotsam,nettlesome,glib,impair,,occlude,sparing,strut
441,flounder,neutralize,glut,impartial,,odious,sparse,stupefy
442,flourish,noble,goad,impasse,,officious,spendthrift,stygian
443,flouted,nonchalant,gossamer,impassive,,ominous,sporadic,stymie
444,fluctuate,nonplussed,graft,impecunious,,onerous,spurious,succor
445,flummoxed,noxious,grandiloquent,impede,,opaque,squalid,supercilious
446,foible,nullify,gregarious,imperious,,opine,stanza,supine
447,foment,numinous,grovel,impermeable,,opprobrium,static,suppliant
448,forage,obeisance,guffaw,imperturbable,,opulent,staunch,supplicant
449,forbearance,oblivious,guileless,impervious,,oration,stint,surfeit
450,foreground,obscure,gumption,impetuous,,ornate,subliminal,sycophant
451,forestall,obsequious,hackneyed,impious,,orotund,subpoena,table
452,formidable,obsolete,hagiographic,implacable,,orthodox,subtle,tamp
453,fortitude,obstinate,hail,implication,,ossify,succinct,tawdry
454,fortuitous,obviate,halcyon,implicit,,ostensible,sundry,tendentious
455,fracas,omnipresent,hamper,implode,,overt,superfluous,tetchy
456,fractious,onerous,hamstrung,imprecation,,overwrought,supplant,timorous
457,fraternize,opaque,haphazard,impugn,,pacify,surreptitious,toady
458,frenetic,opprobrium,harangue,impute,,paean,synergy,tonicity
459,froward,ostentatious,harried,inadvertent,,palatial,tacit,torpid
460,frugal,oust,haughty,inasmuch,,palliate,taciturn,torrid
461,fruition,outstrip,hauteur,incarnadine,,pallid,tact,tortuous
462,fudge,overt,hector,incendiary,,panacea,tangential,tractable
463,fuliginous,painstaking,hedge,incentive,,panache,tantalize,truculent
464,fulsome,palpable,hegemony,inchoate,,panegyric,tautology,tumid
465,funereal,panacea,heretic,incipient,,panoply,temper,turbid
466,furor,panache,heyday,incongruous,,paradox,temperate,turgid
467,furtive,paradigmatic,histrionic,inconsequential,,paragon,tenacity,turpitude
468,gadfly,parochial,hoary,inconstancy,,parenthetical,tender,tyro
469,gaffe,parsimonious,hobble,incorporate,,pariah,tentative,ubiquitous
470,gainsay,partial,hodgepodge,inculcate,,parley,tenuous,umbrage
471,gallant,patent,hoodwink,indefatigable,,parody,terse,uncouth
472,gambit,peculiar,hound,indeterminate,,parry,tirade,undulate
473,gamboled,pedantic,hubris,indifferent,,parsimonious,torque,unfeigned
474,garble,pedestrian,humdrum,indigence,,partisan,tout,untenable
475,gargantuan,pellucid,iconoclast,indolent,,pastiche,tranquil,untoward
476,garrulous,pensive,iconoclastic,inert,,patriarch,travesty,upbraid
477,gauche,perennial,idiosyncrasy,inexorable,,paucity,trepidation,urbane
478,gaudy,perfidy,ignoble,infallible,,peccadillo,trivial,usury
479,genial,perfunctory,ignominious,inform,,pedagogical,unfettered,vacuous
480,germane,perilous,illicit,ingenuous,,pedantic,unremitting,variegated
481,germinate,peripheral,illustrious,ingrained,,pejorative,vacillate,vaunt
482,ghastly,pernicious,imbibe,ingrate,,penchant,veracity,venal
483,gild,perpetrate,imbroglio,ingratiate,,penitent,veritable,venerate
484,glacial,perpetuate,immaterial,inherent,,penurious,vexation,veneration
485,glancing,pertinacious,immure,inimical,,peregrinate,viable,verdant
486,glaring,pertinent,immutable,iniquity,,perfidious,vigilant,verisimilitude
487,glowered,pervasive,impartial,innocuous,,perfunctory,vigor,vernacular
488,glut,petulant,impeccable,inordinate,,peripatetic,vilify,vestige
489,goosebumps,phlegmatic,impecunious,inquest,,permeate,viscous,virago
490,gossamer,pious,impede,insensible,,pernicious,vitality,virulent
491,grandiloquent,pithy,impending,insinuate,,perquisite,volatile,vitiate
492,grandiose,placate,imperious,insipid,,perspicacity,voracious,vitriolic
493,grandstand,placid,impermeable,insular,,peruse,waffle,viturperate
494,grasping,plaintive,impertinent,insurrection,,pervasive,waft,volubility
495,grating,plastic,impervious,intelligible,,petulant,wane,wag
496,gravitas,platitude,impetuous,inter,,phalanx,warranted,wax
497,gregarious,pliant,implacable,interplay,,philanthropist,waver,welter
498,grisly,plodding,implausible,interregnum,,philistine,weather,wend
499,grouse,poignant,implicate,intractable,,phlegmatic,whimsical,wheedle
500,grovel,polarize,imponderable,intransigent,,picayune,zealous,wizened
501,gumption,polemical,importuned,intrepid,,pious,,
502,guttural,polymath,impregnable,intrinsic,,pith,,
503,hackneyed,portend,improvident,inundate,,pithy,,
504,haggard,precarious,imprudent,inure,,placid,,
505,halcyon,precipitate,impudent,invective,,platitude,,
506,hallowed,precipitous,impugn,inveigle,,plebeian,,
507,hapless,preclude,impute,investiture,,plethora,,
508,haptic,predicament,inadvertent,invidious,,pliant,,
509,harangue,predilection,inanity,irascible,,plucky,,
510,harbinger,premeditate,inarticulate,irresolute,,polemical,,
511,hardscrabble,prescient,incense,itinerant,,politic,,
512,harmonious,presumptuous,incessant,itinerary,,polyglot,,
513,harried,pretentious,inchoate,jargon,,populist,,
514,harrow,prevaricate,incisive,jettison,,posit,,
515,haughty,prime,inclement,jingoism,,potentate,,
516,headlong,pristine,incongruous,jocular,,pragmatic,,
517,hector,probity,incontrovertible,judicious,,prattle,,
518,hegemony,proclivity,incorrigible,juncture,,precipitate,,
519,heinous,prodigal,incumbent,juxtapose,,precis,,
520,herald,prodigious,indecorous,keen,,precocious,,
521,hermetic,proficient,indict,kindle,,predilection,,
522,heterodox,profligate,indifference,kinetic,,prescience,,
523,heterogeneous,profound,indigenous,knell,,pretense,,
524,heyday,profundity,indigent,kudos,,prevaricate,,
525,hiatus,profuse,indignant,lachrymose,,pristine,,
526,hidebound,proliferate,industrious,lackluster,,probity,,
527,hirsute,prolix,ineffable,laconic,,proclivity,,
528,histrionic,propagate,ineluctable,lament,,prodigal,,
529,hodgepodge,propensity,inequity,lampoon,,prodigy,,
530,holistic,prophetic,inexorable,landmark,,profligate,,
531,homespun,propriety,infelicitous,languid,,progenitor,,
532,homogeneous,prosaic,inflammable,larceny,,proletarian,,
533,hortatory,providential,ingenuity,largess or largesse,,proliferate,,
534,hubris,provincial,ingenuous,lassitude,,propensity,,
535,humbuggery,provocative,ingratiate,latent,,propitiate,,
536,humdrum,prowess,inimical,laudable,,propriety,,
537,husbandry,prudent,inimitable,lavish,,prosaic,,
538,iconoclast,puerile,inkling,lax,,proselytize,,
539,ideological,pugnacious,innocuous,layperson,,provincial,,
540,idiosyncrasy,punctilious,inscrutable,leery,,prudent,,
541,idyllic,qualm,insidious,legerdemain,,puerile,,
542,ignominy,quiescent,insipid,lethargic,,pugilist,,
543,illiberal,quirky,insolent,levity,,pugnacious,,
544,illusory,quixotic,insolvent,levy,,pulchritude,,
545,imbroglio,radical,insouciance,liberal,,punctilious,,
546,imminent,rapacious,insufferable,libertine,,pundit,,
547,immure,rational,intermittent,licentious,,pungent,,
548,immutable,reconcile,internecine,likewise,,pusillanimous,,
549,impassive,recondite,intimate,limpid,,putrefy,,
550,impeccable,recourse,intimation,lionize,,quaff,,
551,impecunious,recrudescent,intransigent,lissome,,quell,,
552,impeded,refine,intrepid,listless,,querulous,,
553,impenetrable,refute,inundate,livid,,quiescent,,
554,imperative,regress,inure,log,,quixotic,,
555,imperious,reiterate,invective,loquacious,,quotidian,,
556,imperturbable,relinquish,inveterate,lucid,,raconteur,,
557,impetuous,relish,invidious,lugubrious,,raiment,,
558,impetus,remedial,inviolable,lull,,rancorous,,
559,impinge,renege,inviolate,lumber,,raucous,,
560,implacable,renounce,involved,luminous,,raze,,
561,implication,repercussion,irascible,lurid,,rebuke,,
562,implicit,replenish,irk,"machination or
machinations",,rebut,,
563,imploring,reproach,irrefutable,maelstrom,,recalcitrant,,
564,importune,repudiate,irresolute,magnanimous,,recondite,,
565,impregnable,restive,irrevocable,magnate,,redoubtable,,
566,imprimatur,reticent,itinerant,makeshift,,redress,,
567,impromptu,robust,jargon,malediction,,refulgent,,
568,impudence,rudimentary,jaundice,malinger,,refute,,
569,impugn,ruminate,jejune,malleable,,rejoinder,,
570,inalienable,sagacious,jingoism,manifest,,relegate,,
571,inane,salubrious,jingoist,mannered,,remiss,,
572,incandescent,salutary,jocular,mar,,remuneration,,
573,incensed,sanctimonious,jovial,martinet,,renounce,,
574,inchoate,sanction,jubilant,maudlin,,repast,,
575,incipient,sanguine,juggernaut,maverick,,replete,,
576,incisive,satirical,junta,maxim,,repose,,
577,incoherent,scant,juxtapose,mendacious,,reprehensible,,
578,incorporate,scathing,kowtow,mendicant,,reproach,,
579,incorrigible,schism,laborious,mercurial,,repudiate,,
580,inculcate,scintillating,lacerate,meretricious,,repugnant,,
581,incumbent,scorn,lachrymose,metamorphosis,,requite,,
582,indefatigable,scrupulous,laconic,metaphysical,,rescind,,
583,indictment,sedulous,lambast,meticulous,,restive,,
584,indigenous,sensational,lampoon,milieu,,reticent,,
585,indignant,sever,languid,militate,,revere,,
586,indomitable,sham,languish,mired,,reviler,,
587,industrious,skirt,largess,mirth,,rhapsodize,,
588,ineffable,skittish,lascivious,misanthrope or misanthropist,,rhetoric,,
589,ineluctable,skullduggery,laudable,missive,,ribald,,
590,inestimable,slander,leery,mitigate,,rococo,,
591,inexorable,slight,lethargic,modest,,sacrosanct,,
592,infinitesimal,sluggish,limpid,modicum,,sagacious,,
593,influx,somnolent,lionize,modish,,sage,,
594,ingenious,sophisticated,litany,mollify,,salient,,
595,ingenuous,soporific,loath,molt,,salubrious,,
596,ingrained,sound,lucid,monastic,,sanctimonious,,
597,ingratiate,spartan,lugubrious,monotony,,sanguine,,
598,inimical,specious,macabre,moreover,,sardonic,,
599,inimitable,spendthrift,machinate,mores,,satiate,,
600,innate,sporadic,magisterial,morose,,schism,,
601,innocuous,spurious,magnanimous,multifarious,,scintillating,,
602,inordinate,stalwart,maintain,mundane,,scoff,,
603,inscrutable,stern,maladroit,munificent,,scrupulous,,
604,insinuate,stigmatize,malady,myopic,,sedition,,
605,insipid,stinting,malapropism,nadir,,sedulous,,
606,insolence,stoic,malevolent,naïve,,sentient,,
607,insular,strife,malfeasance,nascent,,seraphic,,
608,integrate,stringent,malingerer,negate,,sibilant,,
609,interloper,subjective,malleable,neologism,,sinecure,,
610,intimate,subordinate,malodorous,neophyte,,slake,,
611,intrepid,subservient,martial,net,,sobriquet,,
612,intrinsic,subside,martinet,nettle,,solecism,,
613,intrusive,subsume,maudlin,nevertheless or nonetheless,,solicitous,,
614,inundated,subtle,maunder,noisome,,solvent,,
615,inveigh,subvert,maverick,nominal,,somnolent,,
616,inveigle,superficial,mawkish,nontrivial,,sonorous,,
617,invidious,superfluous,maxim,normative,,sophistry,,
618,inviolate,supersede,meander,notoriety,,soporific,,
619,irascible,supplicate,melancholy,novel,,Spartan,,
620,irk,surmount,melee,nuance,,specious,,
621,ironic,surreptitious,mellifluous,obdurate,,sportive,,
622,irresolute,synoptic,mendacity,objective,,spurious,,
623,jargon,taciturn,mendicant,oblique,,squalid,,
624,jejune,tact,mercurial,obsequious,,stasis,,
625,jettison,tangential,mesmerize,obsolete,,stentorian,,
626,jingoism,tantalizing,meteoric,obstinate,,stevedore,,
627,jocose,tantamount,meticulous,obviate,,stifle,,
628,judicious,tarnish,mettlesome,occlude,,stigma,,
629,juggernaut,temper,misanthrope,occult,,stoic,,
630,juvenescence,tempestuous,misattribute,offhand,,stolid,,
631,juxtapose,temporal,misconstrue,officious,,stricture,,
632,kindle,tenable,miscreant,offset,,stultify,,
633,kindred,tendentious,miser,onerous,,stymie,,
634,kismet,tentative,misogynist,opaque,,sublime,,
635,kowtow,tepid,mitigate,opine,,subterfuge,,
636,lachrymose,terse,modicum,opprobrium,,subtle,,
637,lackadaisical,thorough,mollify,optimal,,subversive,,
638,laconic,timorous,moment,optimum,,succinct,,
639,lampoon,tirade,moot,orotund,,sully,,
640,languid,torpor,mordant,orthodox,,supercilious,,
641,largess,tortuous,moribund,oscillate,,superfluous,,
642,lassitude,tout,morose,ossify,,supplant,,
643,latent,tractable,morph,ostensible or ostensive,,surfeit,,
644,laudable,tranquil,mulct,ostentatious,,surly,,
645,lax,transgression,mundane,outstrip,,surreptitious,,
646,legerdemain,transient,munificent,overshadow,,sybarite,,
648,lenient,transitory,muted,overwrought,,sycophant,,
647,levity,trenchant,myopic,palatial,,symbiosis,,
649,licentious,trifling,myriad,palliate,,syncopated,,
650,lionized,trivial,nadir,pallid,,tacit,,
651,listless,truculent,negligible,panache,,taciturn,,
652,logorrhea,turbulent,nettlesome,panegyric,,tawdry,,
653,loquacious,ubiquitous,noisome,panoply,,temerity,,
654,lovelorn,umbrage,nonchalant,paradigm,,temperate,,
655,lucid,undermine,nonplussed,paradox,,tenacious,,
656,lucre,underscore,nuance,paragon,,toady,,
657,ludicrous,understated,obdurate,pare,,tome,,
658,lugubrious,universal,objurgate,pariah,,torpid,,
659,lumber,unprecedented,obliging,parley,,transient,,
660,luminary,unscrupulous,oblique,parry,,treacly,,
661,lurid,unseemly,obscure,partial,,trenchant,,
662,macabre,upbraid,obsequious,partisan,,trite,,
663,macerate,urbane,obstinate,pastiche,,truculence,,
664,machination,utilitarian,obstreperous,patent,,truncated,,
665,maelstrom,utterly,obtain,pathogenic,,turgid,,
666,magisterial,vacillate,obtuse,pathological,,turpitude,,
667,magnanimous,vanquish,officious,patronizing,,tyro,,
668,magnate,vapid,opaque,paucity,,ubiquitous,,
669,makeshift,venal,opulence,peccadillo,,umbrage,,
670,malevolent,venerate,ornate,pedant,,unctuous,,
671,malfeasance,veracity,ossify,peddle,,untenable,,
672,malign,verbose,ostentatious,pedestrian,,upbraid,,
673,malinger,verisimilitude,ostracize,pejorative,,usury,,
674,malleable,veritable,overweening,pellucid,,vacillate,,
675,manacle,versatile,palatable,penchant,,vainglorious,,
676,mandate,vexation,palaver,penitent,,venerated,,
677,manifold,viable,palimpsest,penumbra,,veracity,,
678,marginal,vigilant,panacea,penury,,verbose,,
679,marshal,virulent,panache,per se,,verdant,,
680,maudlin,visionary,panegyric,peregrinate,,verisimilitude,,
681,mawkish,vitiate,paradoxical,perennial,,vestige,,
682,meager,vivacious,paragon,perfidious,,vicissitude,,
683,meddle,vociferous,pariah,perfunctory,,vim,,
684,meld,volatile,parochial,peripatetic,,virtuoso,,
685,mellifluous,wane,parsimonious,peripheral,,viscous,,
686,melodramatic,wary,parvenu,permeate,,vitiate,,
687,mendacity,wayward,pastoral,pernicious,,vitriolic,,
688,mendicant,weary,patent,perspicacious,,vituperate,,
689,menial,woeful,patronize,pervasive,,vociferous,,
690,mephitic,zealous,paucity,phalanx,,voluble,,
691,mercenary,,pecuniary,philanthropy,,wane,,
692,mercurial,,pedantic,philistine,,wanton,,
693,meretricious,,pedestrian,phlegmatic,,whimsical,,
694,meterological,,peevish,phony,,wily,,
695,meticulous,,pejorative,pious,,wistful,,
696,mettle,,pellucid,pith,,wizened,,
697,miasma,,penurious,placate,,wraith,,
698,microcosm,,percipient,placid,,zealous,,
699,milieu,,peremptory,plastic,,zenith,,
700,milquetoast,,perennial,platitude,,zephyr,,
701,mimetic,,perfidy,plausible,,,,
702,minatory,,perfunctory,plebian,,,,
703,minion,,peripatetic,plethora,,,,
704,misanthrope,,pernicious,plucky,,,,
705,miscreant,,perpetuate,plummet,,,,
706,miserly,,perquisite,plutocracy,,,,
707,misnomer,,perspicacious,polarized,,,,
708,mitigate,,pertinent,polemic,,,,
709,modicum,,perturb,politic,,,,
710,modish,,peruse,polyglot,,,,
711,monastic,,petulant,ponderous,,,,
712,morass,,phantasmagorical,posit,,,,
713,morbid,,philistine,posthumous,,,,
714,mordant,,phlegmatic,potentate,,,,
715,mores,,picayune,pragmatic,,,,
716,moribund,,pillory,prattle,,,,
717,morose,,pine,pre-empt,,,,
718,motile,,pinnacle,preamble,,,,
719,motley,,piquant,precarious,,,,
720,multifaceted,,pith,precipitate,,,,
721,mundane,,pithy,précis,,,,
722,munificent,,pittance,precursor,,,,
723,myopic,,placate,predilection,,,,
724,myriad,,placid,predisposed,,,,
725,nadir,,platitude,prescient,,,,
726,naivete,,plodding,presumptive,,,,
727,nascent,,ploy,presumptuous,,,,
728,nebulous,,plucky,pretentious,,,,
729,neophyte,,poignant,preternatural,,,,
730,nepotism,,polemic,prevaricate,,,,
731,nettle,,Pollyannaish,primacy,,,,
732,newfangled,,ponderous,principled,,,,
733,noisome,,pontificate,pristine,,,,
734,non sequitur,,portentous,probity,,,,
735,nonchalant,,posit,proclivity,,,,
736,nondescript,,powwow,prodigal,,,,
737,nonpareil,,pragmatic,prodigious,,,,
738,nonplussed,,precarious,profligate,,,,
739,nontrivial,,precedent,profound,,,,
740,normative,,precipitate,profuse,,,,
741,nostalgia,,precipitous,prohibitive,,,,
742,nostrum,,preclude,proliferate,,,,
743,notorious,,precocious,prolix,,,,
744,novel,,predilection,prologue,,,,
745,novitiate,,preempt,pronounced,,,,
746,noxious,,preemptive,propagate,,,,
747,nuance,,prescience,propensity,,,,
748,nugatory,,presentiment,prophetic,,,,
749,obdurate,,presumption,propitiate,,,,
750,obeisance,,presumptuous,propitious,,,,
751,obfuscated,,prevail,propriety,,,,
752,objectionable,,prevaricate,prosaic,,,,
753,objective,,primacy,proscribe,,,,
754,objurgation,,pristine,prospective,,,,
755,obloquy,,probity,providential,,,,
756,obsequious,,prodigal,proxy,,,,
757,obstinate,,prodigious,prudent,,,,
758,obstreperous,,profligate,puerile,,,,
759,obtrusive,,profuse,pugilism,,,,
760,occluded,,profusion,pugnacious,,,,
761,odious,,prognostication,puissance,,,,
762,officious,,prolific,pulchritude,,,,
763,offset,,prolixity,pungent,,,,
764,ogle,,promulgate,pusillanimous,,,,
765,omission,,propitiate,qualified,,,,
766,omniscient,,propitious,quandary,,,,
767,onus,,proponent,querulous,,,,
768,opaque,,prosaic,quibble,,,,
769,openhanded,,proscribe,quiescent,,,,
770,opine,,proselytize,quixotic,,,,
771,opportune,,protean,quotidian,,,,
772,opprobrium,,provident,raconteur,,,,
773,opulent,,provincial,ranks,,,,
774,ornate,,provisional,rarefied,,,,
775,orthodox,,puerile,reactant,,,,
776,oscillate,,pugnacious,reap,,,,
777,ossified,,puissant,recalcitrant,,,,
778,ostentatious,,punctilious,recant,,,,
779,ostracized,,pundit,recapitulate,,,,
780,otiose,,pyrrhic,recluse,,,,
781,outmoded,,quail,recondite,,,,
782,outstrip,,qualify,recrudescent,,,,
783,overshadow,,qualm,redound,,,,
784,overweening,,quandary,redress,,,,
785,pacific,,querulous,refractory,,,,
786,painstaking,,quip,refulgent,,,,
787,palatable,,quisling,refute,,,,
788,palatial,,quixotic,rejoinder,,,,
789,palimpsest,,quotidian,relegate,,,,
790,pall,,raconteur,remedial,,,,
791,palliate,,raffish,rend,,,,
792,pallid,,raft,render,,,,
793,panacea,,raillery,repast,,,,
794,pander,,rakish,repertorial,,,,
795,pangs,,rankle,replete,,,,
796,panned,,rapprochement,repose,,,,
797,paradigm,,rarefied,reproach,,,,
798,paragon,,rash,reprobate,,,,
799,pariah,,ravenous,repudiate,,,,
800,parley,,rebuke,requite,,,,
801,parochial,,recapitulation,rescind,,,,
802,parody,,reconcile,resolution,,,,
803,paroxysm,,recondite,resolve,,,,
804,parsimonious,,recrimination,respectively,,,,
805,partiality,,recrudesce,restive,,,,
806,partisan,,redoubtable,resurgent,,,,
807,pastiche,,redress,reticent,,,,
808,pathos,,refractory,retrospective,,,,
809,patois,,refute,revamp,,,,
810,paucity,,relegate,reverent,,,,
811,pedantic,,remiss,rhetoric,,,,
812,pedestrian,,remonstrate,ribald,,,,
813,peevish,,renege,ridden,,,,
814,penchant,,replete,rife,,,,
815,pendulous,,reprisal,rift,,,,
816,penitent,,reproach,rococo,,,,
817,penurious,,reprobate,rudimentary,,,,
818,penury,,repudiate,rue,,,,
819,peons,,rescind,ruminate,,,,
820,peregrinate,,reservation,rustic,,,,
821,peremptory,,resignation,sacrosanct,,,,
822,perennial,,resolve,sagacious,,,,
823,perfidy,,respite,salient,,,,
824,perfunctory,,restive,salubrious,,,,
825,peripatetic,,resurgent,sanction,,,,
826,peripheral,,reticent,sanguine,,,,
827,permeated,,retiring,sap,,,,
828,permutation,,retract,sardonic,,,,
829,pernicious,,reverent,satiate or sate,,,,
830,perquisites,,ribald,saturate,,,,
831,personified,,rile,savant,,,,
832,perspicacious,,robust,savor,,,,
833,pertinacious,,row,scant,,,,
834,perturb,,rudimentary,scathing,,,,
835,pervasive,,rustic,scintilla,,,,
836,perverse,,sagacious,scurvy,,,,
837,petulant,,sanctimonious,searchingly,,,,
838,philander,,sanction,secrete,,,,
839,phlegmatic,,sangfroid,secular,,,,
840,physiological,,sanguine,sedition,,,,
841,picaresque,,sardonic,sedulous,,,,
842,picayune,,sartorial,semantic,,,,
843,picturesque,,saturnine,sentient,,,,
844,piebald,,savvy,seraphic,,,,
845,pilfer,,schadenfreude,shard,,,,
846,pillory,,scintillating,simultaneous,,,,
847,pinnacle,,screed,sinecure,,,,
848,pioneering,,scrupulous,skeptic,,,,
849,piquant,,sedulous,skirt,,,,
850,pitfall,,self-effacing,skittish,,,,
851,pith,,semblance,slack,,,,
852,pittance,,sententious,slake,,,,
853,pivotal,,sentimental,slew,,,,
854,placate,,serendipity,slight,,,,
855,plaintive,,serene,sobriquet,,,,
856,platitude,,simulacrum,solecism,,,,
857,platonic,,sinecure,solicitous,,,,
858,plaudits,,slapdash,solidarity,,,,
859,plausible,,smattering,somatic,,,,
860,plebeian,,smug,soporific,,,,
861,plenipotentiary,,snide,sound,,,,
862,pluck,,snub,spartan,,,,
863,plutocracy,,solecism,spate,,,,
864,polarize,,solicitous,spearhead,,,,
865,polemic,,solicitude,specious,,,,
866,politesse,,soporific,spectrum,,,,
867,politic,,sordid,speculate,,,,
868,pomp,,spartan,sporadic,,,,
869,ponderous,,specious,sportive,,,,
870,portentous,,spendthrift,squalid,,,,
871,poseur,,splenetic,squelch,,,,
872,posit,,sporadic,standing,,,,
873,posthumous,,spurious,stark,,,,
874,pragmatic,,spurn,stasis,,,,
875,prattle,,squander,static,,,,
876,precarious,,squelch,status quo,,,,
877,precocious,,staid,steeped,,,,
878,precursor,,stalwart,stentorian,,,,
879,predilection,,start,stigma,,,,
880,premonition,,staunch,stingy,,,,
881,prescient,,steadfast,stint,,,,
882,pretext,,stem,stipulate,,,,
883,prevarication,,stipend,stoic or stoical,,,,
884,primed,,stolid,stolid,,,,
885,primordial,,stringent,stratagem,,,,
886,pristine,,stultify,stratum,,,,
887,proclivity,,stymie,strut,,,,
888,prodigal,,subsume,stymie or stymy,,,,
889,prodigious,,subterfuge,subjective,,,,
890,profane,,subversive,sublime,,,,
891,profligacy,,sullen,subpoena,,,,
892,profound,,summit,subside,,,,
893,profuse,,supercilious,substantiate,,,,
894,progenitors,,superfluous,succeeding,,,,
895,prognosticate,,supplant,sully,,,,
896,proliferate,,surfeit,supersede,,,,
897,prolific,,surly,supplant,,,,
898,prolix,,surreptitious,supplicate,,,,
899,prominent,,sybarite,supposition,,,,
900,promulgate,,sycophant,surfeit,,,,
901,pronounced,,taciturn,surly,,,,
902,propagate,,tact,surmise,,,,
903,propensity,,tantamount,surrogate,,,,
904,prophetic,,tarnish,sybarite,,,,
905,propitious,,tawdry,sycophant,,,,
906,propriety,,taxing,symbiosis,,,,
907,prosaic,,telling,synchronous,,,,
908,protean,,telltale,synoptic,,,,
909,providential,,temerity,syntax,,,,
910,provincial,,temperance,table,,,,
911,prowess,,tempered,tacit,,,,
912,proximity,,tempestuous,taciturn,,,,
913,prudent,,tenacious,tangential,,,,
914,puerile,,tendentious,tawdry,,,,
915,pugnacious,,tender,temperance,,,,
916,pulchritude,,thoroughgoing,tendentious,,,,
917,punctilious,,thrifty,tenuous,,,,
918,pungent,,thwart,terrestrial,,,,
919,punitive,,timorous,terse,,,,
920,purist,,tirade,timely,,,,
921,pusillanimous,,torpor,timorous,,,,
922,putrid,,tortuous,tirade,,,,
923,quagmire,,tout,toady,,,,
